Protein,Gene,Patient,Measurement 1,Measurement 2,Measurement 3,Mean,Std,CV
F-actin-capping protein subunit beta,CAPZB,12,2530600000.0,2070800000.0,2176500000.0,2259300000.0,196631448.82,0.087
F-actin-capping protein subunit beta,CAPZB,21,2986900000.0,2540600000.0,2553600000.0,2693700000.0,207391626.32,0.077
F-actin-capping protein subunit beta,CAPZB,25,2430300000.0,3412300000.0,2141300000.0,2661300000.0,543985906.68,0.2044
F-actin-capping protein subunit beta,CAPZB,27,1549000000.0,1274100000.0,1299500000.0,1374200000.0,124036473.13,0.0903
F-actin-capping protein subunit beta,CAPZB,31,2199100000.0,2217000000.0,2178800000.0,2198300000.0,15605340.97,0.0071
F-actin-capping protein subunit beta,CAPZB,32,2295300000.0,2365900000.0,3033900000.0,2565033333.33,332789276.0,0.1297
F-actin-capping protein subunit beta,CAPZB,33,2801400000.0,3112500000.0,2144300000.0,2686066666.67,403591495.89,0.1503
F-actin-capping protein subunit beta,CAPZB,39,2023000000.0,2178400000.0,2264500000.0,2155300000.0,99935879.44,0.0464
F-actin-capping protein subunit beta,CAPZB,89,2768200000.0,3006400000.0,2123700000.0,2632766666.67,372868576.79,0.1416
F-actin-capping protein subunit beta,CAPZB,90,2572000000.0,3479700000.0,1870000000.0,2640566666.67,658943378.11,0.2495
F-actin-capping protein subunit beta,CAPZB,103,2668200000.0,2838600000.0,2614100000.0,2706966666.67,95663310.05,0.0353
F-actin-capping protein subunit beta,CAPZB,99,2937400000.0,2667400000.0,2185800000.0,2596866666.67,310866373.58,0.1197
F-actin-capping protein subunit beta,CAPZB,73,2554500000.0,2211500000.0,2330700000.0,2365566666.67,142183011.96,0.0601
F-actin-capping protein subunit beta,CAPZB,92,2543600000.0,2379400000.0,2169700000.0,2364233333.33,153020310.92,0.0647
F-actin-capping protein subunit beta,CAPZB,54,1957200000.0,1986900000.0,2012100000.0,1985400000.0,22437914.34,0.0113
F-actin-capping protein subunit beta,CAPZB,104,1924900000.0,2820100000.0,3123100000.0,2622700000.0,508688431.16,0.194
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,12,1747600000.0,2445600000.0,2118300000.0,2103833333.33,285140857.98,0.1355
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,21,1489900000.0,1479500000.0,1693700000.0,1554366666.67,98614986.47,0.0634
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,25,1819900000.0,2001300000.0,1663600000.0,1828266666.67,137992326.68,0.0755
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,27,978470000.0,1059300000.0,719500000.0,919090000.0,144937913.83,0.1577
