Protein IDs,Majority protein IDs,Protein names,Gene names,Patient Measurements,Patient CVs,Average CV,Patient Count
P06733,P06733, Alpha-enolase,ENO1,"{'12': [47513000000.0, 60721000000.0, 46013000000.0], '21': [61100000000.0, 45807000000.0, 41217000000.0], '25': [51659000000.0, 57731000000.0, 39954000000.0], '27': [42524000000.0, 34725000000.0, 24376000000.0], '31': [50611000000.0, 48269000000.0, 47219000000.0], '32': [58173000000.0, 50759000000.0, 68448000000.0], '33': [45809000000.0, 47701000000.0, 44809000000.0], '39': [36148000000.0, 27262000000.0, 34770000000.0], '89': [38966000000.0, 60732000000.0, 29676000000.0], '90': [47713000000.0, 39090000000.0, 43324000000.0], '103': [47607000000.0, 51295000000.0, 45382000000.0], '99': [46244000000.0, 45073000000.0, 35748000000.0], '73': [41442000000.0, 46037000000.0, 36287000000.0], '92': [46481000000.0, 58493000000.0, 52214000000.0], '54': [27022000000.0, 25908000000.0, 27948000000.0], '104': [34313000000.0, 40083000000.0, 33087000000.0]}","{'12': 0.001285269513870664, '21': 0.0017215671947699454, '25': 0.0014820574081001916, '27': 0.002194311288871866, '31': 0.00029114516649079536, '32': 0.0012266750715329206, '33': 0.0002601004705984689, '39': 0.0011931674998335938, '89': 0.003018020044611432, '90': 0.0008116335373796687, '103': 0.0005070161277666305, '99': 0.0011087829215734556, '73': 0.0009653560882722228, '92': 0.0009362483467798026, '54': 0.0003093565109290282, '104': 0.0008513863398931811}",0.1135130845704616,16
P68363;Q9H853,P68363, Tubulin alpha-1B chain,TUBA1B,"{'12': [32990000000.0, 33748000000.0, 33548000000.0], '21': [37433000000.0, 26947000000.0, 28499000000.0], '25': [37872000000.0, 38365000000.0, 30272000000.0], '27': [51201000000.0, 42738000000.0, 46868000000.0], '31': [28134000000.0, 31748000000.0, 33020000000.0], '32': [37014000000.0, 33723000000.0, 40289000000.0], '33': [26799000000.0, 27060000000.0, 23384000000.0], '39': [24913000000.0, 25386000000.0, 31421000000.0], '89': [29503000000.0, 48036000000.0, 21956000000.0], '90': [25371000000.0, 46245000000.0, 21670000000.0], '103': [25817000000.0, 27253000000.0, 25754000000.0], '99': [30055000000.0, 35847000000.0, 37373000000.0], '73': [33865000000.0, 30621000000.0, 38862000000.0], '92': [24371000000.0, 36948000000.0, 32044000000.0], '54': [23761000000.0, 26962000000.0, 29831000000.0], '104': [24793000000.0, 26973000000.0, 26699000000.0]}","{'12': 9.595073353900597e-05, '21': 0.001492581254123606, '25': 0.0010433899292844504, '27': 0.0007361856827705497, '31': 0.0006683412365495743, '32': 0.0007243062691706793, '33': 0.0006504503036888778, '39': 0.0010876332813666157, '89': 0.0033039263739223597, '90': 0.0034791269055885225, '103': 0.0002634720691723392, '99': 0.0009156808653555342, '73': 0.000983952667380183, '92': 0.0016631383452906548, '54': 0.0009233442284805548, '104': 0.0003706954116944007}",0.1150135972336119,16
P55786;A6NEC2,P55786, Puromycin-sensitive aminopeptidase,NPEPPS,"{'12': [2664000000.0, 1651500000.0, 2064500000.0], '21': [2238100000.0, 2005000000.0, 1677500000.0], '25': [1766600000.0, 1862900000.0, 1792000000.0], '27': [1475200000.0, 1609100000.0, 1861700000.0], '31': [1780000000.0, 1246100000.0, 1500400000.0], '32': [3002500000.0, 1709400000.0, 2836400000.0], '33': [1678700000.0, 1592400000.0, 1713300000.0], '39': [1236100000.0, 1315800000.0, 1515400000.0], '89': [1851500000.0, 1801100000.0, 1356500000.0], '90': [1718500000.0, 1752900000.0, 1374100000.0], '103': [2128100000.0, 2042000000.0, 1582000000.0], '99': [2215300000.0, 1544300000.0, 2112500000.0], '73': [1861100000.0, 1228800000.0, 1614000000.0], '92': [2252100000.0, 1856200000.0, 2045900000.0], '54': [1535300000.0, 1422500000.0, 1459600000.0], '104': [1380000000.0, 2218800000.0, 2478400000.0]}","{'12': 0.00195461866964606, '21': 0.0011651338103723745, '25': 0.00022549560774390187, '27': 0.000971992647991053, '31': 0.0014451252942891616, '32': 0.0022830548050248953, '33': 0.00030599016265443535, '39': 0.0008664746972576713, '89': 0.0013320932110712906, '90': 0.0010589458867797657, '103': 0.0012503136156327374, '99': 0.001507545467179758, '73': 0.001659343842001006, '92': 0.0007881070570801931, '54': 0.00031878856400991936, '104': 0.0023139306679028763}",0.1215434625414818,16
P00558,P00558, Phosphoglycerate kinase 1,PGK1,"{'12': [18033000000.0, 24980000000.0, 17849000000.0], '21': [18725000000.0, 14550000000.0, 17196000000.0], '25': [9287100000.0, 12290000000.0, 8261400000.0], '27': [12749000000.0, 11200000000.0, 9724500000.0], '31': [19626000000.0, 20710000000.0, 16004000000.0], '32': [22108000000.0, 16945000000.0, 24545000000.0], '33': [20112000000.0, 23457000000.0, 19864000000.0], '39': [19930000000.0, 23383000000.0, 19910000000.0], '89': [16077000000.0, 28604000000.0, 13246000000.0], '90': [18657000000.0, 16521000000.0, 14913000000.0], '103': [21471000000.0, 22430000000.0, 20615000000.0], '99': [16279000000.0, 15106000000.0, 15119000000.0], '73': [19733000000.0, 24020000000.0, 18070000000.0], '92': [25132000000.0, 22190000000.0, 17496000000.0], '54': [16991000000.0, 17857000000.0, 14768000000.0], '104': [20394000000.0, 27680000000.0, 21755000000.0]}","{'12': 0.0016360290011410835, '21': 0.0010251336928307933, '25': 0.0017186733691774, '27': 0.0011001545561282343, '31': 0.0010714565943599043, '32': 0.0014946308073581847, '33': 0.0007748806453640313, '39': 0.0007746362594053885, '89': 0.0034561087485698635, '90': 0.0009184522346878483, '103': 0.0003447369278503861, '99': 0.0003547559246078259, '73': 0.0012163331712363831, '92': 0.0014554365175396583, '54': 0.0007866464924450964, '104': 0.0013589107829522255}",0.1217935982853394,16
P47755,P47755, F-actin-capping protein subunit alpha-2,CAPZA2,"{'12': [641950000.0, 536400000.0, 693850000.0], '21': [793500000.0, 702440000.0, 856080000.0], '25': [491220000.0, 1010200000.0, 867050000.0], '27': [842510000.0, 786000000.0, 369070000.0], '31': [675630000.0, 756300000.0, 832780000.0], '32': [694500000.0, 624980000.0, 980560000.0], '33': [782130000.0, 766050000.0, 679890000.0], '39': [783530000.0, 1019200000.0, 787960000.0], '89': [864270000.0, 825260000.0, 606910000.0], '90': [668270000.0, 852540000.0, 629090000.0], '103': [857150000.0, 726810000.0, 856550000.0], '99': [725910000.0, 700210000.0, 771120000.0], '73': [906760000.0, 791250000.0, 942510000.0], '92': [919630000.0, 1089100000.0, 1022900000.0], '54': [951890000.0, 885110000.0, 907230000.0], '104': [635890000.0, 947320000.0, 869030000.0]}","{'12': 0.0010497394713221329, '21': 0.0008046035525947725, '25': 0.0027721148935408962, '27': 0.0031707334859028585, '31': 0.0008499607412485638, '32': 0.002007043732574992, '33': 0.0006044098045102437, '39': 0.0012745631676096955, '89': 0.0014794805899409267, '90': 0.001359447876018744, '103': 0.0007535547889571802, '99': 0.00040020915824332757, '73': 0.000733377175873224, '92': 0.0006900781145429899, '54': 0.00030364414360740336, '104': 0.001618225403883703}",0.1241949131273228,16
P63241;Q6IS14,P63241;Q6IS14, Eukaryotic translation initiation factor 5A-1; Eukaryotic translation initiation factor 5A-1-like,EIF5A;EIF5AL1,"{'12': [4729700000.0, 9170700000.0, 4468300000.0], '21': [5275700000.0, 3467300000.0, 4067000000.0], '25': [3291500000.0, 3513100000.0, 2857000000.0], '27': [3200800000.0, 3808100000.0, 3400700000.0], '31': [6477700000.0, 4545000000.0, 3930900000.0], '32': [6264500000.0, 5554900000.0, 5486600000.0], '33': [5691300000.0, 5731000000.0, 4661800000.0], '39': [5386300000.0, 4244600000.0, 5801800000.0], '89': [4911800000.0, 4458800000.0, 4951000000.0], '90': [4756700000.0, 4080700000.0, 4598800000.0], '103': [4067500000.0, 4459500000.0, 3213500000.0], '99': [6615300000.0, 4909400000.0, 3662700000.0], '73': [4369500000.0, 3768400000.0, 3729000000.0], '92': [4383400000.0, 3213200000.0, 3400900000.0], '54': [3354700000.0, 3075500000.0, 3770200000.0], '104': [2612400000.0, 2718600000.0, 2750300000.0]}","{'12': 0.003524082683107293, '21': 0.0017613611941185872, '25': 0.0008461697157507987, '27': 0.0007282906181674483, '31': 0.002177104508099491, '32': 0.0006096974393248037, '33': 0.0009231485297762538, '39': 0.0012798101764379148, '89': 0.00046788030525566124, '90': 0.0006446907483494784, '103': 0.0013292513725919825, '99': 0.0023906200488102375, '73': 0.0007409423794099271, '92': 0.0013998179271091176, '54': 0.0008394489994440058, '104': 0.00021892186322073273}",0.1242577406810858,16
P52565,P52565, Rho GDP-dissociation inhibitor 1,ARHGDIA,"{'12': [3599600000.0, 3831900000.0, 3295200000.0], '21': [3735300000.0, 3518000000.0, 3180600000.0], '25': [4267000000.0, 4980900000.0, 4906900000.0], '27': [5854800000.0, 3792500000.0, 4123000000.0], '31': [4812800000.0, 5277800000.0, 5809500000.0], '32': [3860200000.0, 3351100000.0, 5237000000.0], '33': [3950800000.0, 4257400000.0, 3973000000.0], '39': [3472700000.0, 3721800000.0, 3799000000.0], '89': [3925800000.0, 5200100000.0, 2844700000.0], '90': [3688900000.0, 5638400000.0, 3362000000.0], '103': [5768200000.0, 3966100000.0, 3900700000.0], '99': [5000700000.0, 4220200000.0, 4677600000.0], '73': [4253400000.0, 3855100000.0, 3450500000.0], '92': [3215600000.0, 3884200000.0, 3875500000.0], '54': [4768200000.0, 3100200000.0, 2539900000.0], '104': [3711500000.0, 4016400000.0, 4672300000.0]}","{'12': 0.0006146295964623191, '21': 0.0006561815803515408, '25': 0.000679318580894409, '27': 0.001970325910184809, '31': 0.0007683058635738493, '32': 0.0019198198455592358, '33': 0.0003437950836562069, '39': 0.0003799616436925019, '89': 0.0024125750025453625, '90': 0.002375911181402945, '103': 0.001903949408891972, '99': 0.0006911673011010148, '73': 0.0008507290835881274, '92': 0.0008559691187922986, '54': 0.002727894783791229, '104': 0.00096984274867116}",0.1257523545822436,16
P38606,P38606, V-type proton ATPase catalytic subunit A,ATP6V1A,"{'12': [2871800000.0, 2970900000.0, 3325200000.0], '21': [1862300000.0, 2251900000.0, 1800500000.0], '25': [2100300000.0, 1982000000.0, 1634400000.0], '27': [999820000.0, 1015200000.0, 1659300000.0], '31': [1594200000.0, 1045900000.0, 1510100000.0], '32': [2213100000.0, 1486400000.0, 1871700000.0], '33': [1954800000.0, 2161100000.0, 1924400000.0], '39': [1082100000.0, 1013700000.0, 1325400000.0], '89': [1835100000.0, 1392600000.0, 1209300000.0], '90': [1549100000.0, 1434300000.0, 1307700000.0], '103': [2321300000.0, 1660800000.0, 1927000000.0], '99': [1944300000.0, 1227300000.0, 1376300000.0], '73': [1180000000.0, 1201800000.0, 1392400000.0], '92': [1972000000.0, 1287000000.0, 1430300000.0], '54': [1279300000.0, 1370600000.0, 1469900000.0], '104': [1562400000.0, 1867300000.0, 1860400000.0]}","{'12': 0.0006368789869888318, '21': 0.0010135327849433654, '25': 0.0010376574890621788, '27': 0.002509206336136759, '31': 0.0017428483000893177, '32': 0.0015985124770141726, '33': 0.0005222476193183488, '39': 0.001172938905094198, '89': 0.001776098854018624, '90': 0.0006892664531990357, '103': 0.0013775354898619765, '99': 0.0020378111493726593, '73': 0.0007583384271967902, '92': 0.0018872436958963976, '54': 0.0005667869886615087, '104': 0.000806030942142012}",0.1258308431187261,16
P67775,P67775, Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,PPP2CA,"{'12': [1198400000.0, 794160000.0, 980300000.0], '21': [1118000000.0, 937870000.0, 1388800000.0], '25': [836220000.0, 1085900000.0, 1002100000.0], '27': [1111200000.0, 683720000.0, 787530000.0], '31': [917390000.0, 1015400000.0, 1073800000.0], '32': [1146500000.0, 1033200000.0, 1476800000.0], '33': [1150500000.0, 1214200000.0, 864890000.0], '39': [870970000.0, 1095100000.0, 1107000000.0], '89': [1237700000.0, 1396700000.0, 997560000.0], '90': [821020000.0, 1255400000.0, 867070000.0], '103': [1356200000.0, 1143500000.0, 1163700000.0], '99': [1044600000.0, 870020000.0, 941430000.0], '73': [1269300000.0, 1779400000.0, 1329400000.0], '92': [1339600000.0, 1313800000.0, 1393300000.0], '54': [680920000.0, 815040000.0, 997590000.0], '104': [819590000.0, 1043100000.0, 918830000.0]}","{'12': 0.00166710300294188, '21': 0.0016140390888062593, '25': 0.0010643982350974012, '27': 0.0021148454853272686, '31': 0.0006439158362912396, '32': 0.0015439609590673384, '33': 0.0014109666009318204, '39': 0.0010598798636890518, '89': 0.0013551914698646831, '90': 0.001985640733948212, '103': 0.0007850242357042878, '99': 0.0007527603649858687, '73': 0.0015597448467439823, '92': 0.00024549820804389973, '54': 0.0015614240734354665, '104': 0.0009862028374548}",0.1271912240145841,16
P30153,P30153, Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,PPP2R1A,"{'12': [2630500000.0, 1705400000.0, 1982900000.0], '21': [3390700000.0, 2278900000.0, 3169000000.0], '25': [1098100000.0, 2293800000.0, 1996800000.0], '27': [2122200000.0, 1566200000.0, 2046800000.0], '31': [3008800000.0, 4141000000.0, 3970800000.0], '32': [4030900000.0, 3506000000.0, 3950500000.0], '33': [2921300000.0, 3396200000.0, 2672100000.0], '39': [2809100000.0, 2627400000.0, 3268200000.0], '89': [3142300000.0, 3592600000.0, 1912100000.0], '90': [2445100000.0, 3750300000.0, 2370200000.0], '103': [3413800000.0, 3159300000.0, 3188200000.0], '99': [2188800000.0, 2189900000.0, 2320900000.0], '73': [3054700000.0, 3180900000.0, 2982300000.0], '92': [3332900000.0, 3620700000.0, 3196500000.0], '54': [1979100000.0, 1727600000.0, 2523300000.0], '104': [2236000000.0, 3073800000.0, 2644700000.0]}","{'12': 0.0018402896377412118, '21': 0.0016307597268399381, '25': 0.002829962139756963, '27': 0.0012881522950413803, '31': 0.0013447319772312138, '32': 0.0006028395449726164, '33': 0.0010023621654433707, '39': 0.0009293342260869794, '89': 0.0024641892584622922, '90': 0.002219352330701055, '103': 0.0003496687577789986, '99': 0.0002776951938247939, '73': 0.0002670796035174269, '92': 0.0005226077664792996, '54': 0.0015991415982232592, '104': 0.001290078122739735}",0.1278640271552533,16
