Protein IDs,Majority protein IDs,Protein names,Gene names,Patient Measurements,Patient CVs,Average CV,Patient Count
P10599,P10599, Thioredoxin,TXN,"{'12': [8357500000.0, 11676000000.0, 7306200000.0], '21': [5599200000.0, 5985900000.0, 4589000000.0], '25': [2635900000.0, 3804800000.0, 2274100000.0], '27': [1881200000.0, 1516500000.0, 2133400000.0], '31': [3221100000.0, 3991300000.0, 2747200000.0], '32': [2770600000.0, 3375100000.0, 2724000000.0], '33': [1596200000.0, 3155400000.0, 2922000000.0], '39': [2322700000.0, 1198300000.0, 1481100000.0], '89': [4083900000.0, 1744400000.0, 3621300000.0], '90': [3686900000.0, 4158500000.0, 2243900000.0], '103': [2635900000.0, 2355400000.0, 1545600000.0], '99': [904390000.0, 1606200000.0, 1127000000.0], '73': [2790500000.0, 3925000000.0, 2866200000.0], '92': [3321600000.0, 2634000000.0, 3016200000.0], '54': [1904500000.0, 1366100000.0, 2459100000.0], '104': [1467700000.0, 2027200000.0, 1665200000.0]}","{'12': 0.0020434913363787917, '21': 0.0010923266756180698, '25': 0.002248657931862587, '27': 0.0013735447864158257, '31': 0.001544281177560813, '32': 0.0010030506047359073, '33': 0.0026844420548841124, '39': 0.00286413596780512, '89': 0.003211564786142994, '90': 0.002421803003508223, '103': 0.0021214927692120044, '99': 0.0024150024378793893, '73': 0.0016214931016391829, '92': 0.0009405957957912003, '54': 0.0023364140456557047, '104': 0.0013469644400394883}",0.1954328807195588,16
P20073,P20073, Annexin A7,ANXA7,"{'12': [1624100000.0, 1020300000.0, 934100000.0], '21': [1452000000.0, 1462500000.0, 1545900000.0], '25': [544010000.0, 896250000.0, 981030000.0], '27': [376060000.0, 130190000.0, 317580000.0], '31': [594630000.0, 615340000.0, 321910000.0], '32': [658990000.0, 581800000.0, 490000000.0], '33': [356190000.0, 644770000.0, 508920000.0], '39': [533630000.0, 498910000.0, 489540000.0], '89': [740210000.0, 696750000.0, 522520000.0], '90': [344610000.0, 734920000.0, 306940000.0], '103': [460810000.0, 422330000.0, 460990000.0], '99': [89707000.0, 200570000.0, 185980000.0], '73': [456230000.0, 519940000.0, 507160000.0], '92': [418770000.0, 712150000.0, 629230000.0], '54': [155080000.0, 274310000.0, 351040000.0], '104': [296920000.0, 369820000.0, 330890000.0]}","{'12': 0.0025734975523210185, '21': 0.0002825483231640474, '25': 0.0023444864751630003, '27': 0.003819015606120463, '31': 0.0026185552042930905, '32': 0.0011972989538488806, '33': 0.0023421620461278776, '39': 0.00037380707290576875, '89': 0.0014401505234082844, '90': 0.004186566072987995, '103': 0.00040581389145903277, '99': 0.0030981855624513353, '73': 0.0005565856755648621, '92': 0.0021047096751135915, '54': 0.00309925540683582, '104': 0.0008956502956988431}",0.1958643021091494,16
P06396;REV__Q6TDU7,P06396, Gelsolin,GSN,"{'12': [10297000000.0, 17963000000.0, 11728000000.0], '21': [6364100000.0, 12732000000.0, 12075000000.0], '25': [18248000000.0, 13955000000.0, 15398000000.0], '27': [7434900000.0, 2657400000.0, 14193000000.0], '31': [3261700000.0, 3518900000.0, 3521500000.0], '32': [3501900000.0, 3347000000.0, 3619900000.0], '33': [3524300000.0, 6220500000.0, 3965100000.0], '39': [4713200000.0, 5319200000.0, 4650300000.0], '89': [8283200000.0, 6009100000.0, 5214200000.0], '90': [4751600000.0, 7471600000.0, 2376300000.0], '103': [7282600000.0, 8571900000.0, 5197500000.0], '99': [2142100000.0, 4258900000.0, 4013100000.0], '73': [8626200000.0, 12792000000.0, 11673000000.0], '92': [7715500000.0, 6804300000.0, 6162700000.0], '54': [3847400000.0, 4530300000.0, 4003500000.0], '104': [6817300000.0, 5246500000.0, 5599900000.0]}","{'12': 0.0024968778410799472, '21': 0.0027521715607261776, '25': 0.0011241634702540248, '27': 0.005846092638880366, '31': 0.0003548675262361469, '32': 0.00032023707346779805, '33': 0.002584035321238717, '39': 0.0006162190914674877, '89': 0.002000132460214827, '90': 0.004277681243715162, '103': 0.0019812429190510603, '99': 0.0027230625308813585, '73': 0.0015958948490704913, '92': 0.0009241216917194328, '54': 0.0007079215190584275, '104': 0.0011427425289563128}",0.1965466516626108,16
P62937;A0A0B4J2A2;A0A075B767;Q9Y536;P0DN37,P62937, Peptidyl-prolyl cis-trans isomerase A,PPIA,"{'12': [37979000000.0, 53902000000.0, 29651000000.0], '21': [19798000000.0, 18699000000.0, 22365000000.0], '25': [16523000000.0, 19504000000.0, 8873700000.0], '27': [8891600000.0, 6661400000.0, 9394200000.0], '31': [10509000000.0, 12503000000.0, 8572300000.0], '32': [8894700000.0, 8120600000.0, 7208700000.0], '33': [6305400000.0, 10602000000.0, 9527800000.0], '39': [8064900000.0, 5404200000.0, 7059700000.0], '89': [7516000000.0, 10648000000.0, 6237500000.0], '90': [6802000000.0, 8966500000.0, 4328100000.0], '103': [7427500000.0, 6945300000.0, 6389100000.0], '99': [4476000000.0, 8574900000.0, 4000700000.0], '73': [12757000000.0, 15012000000.0, 12776000000.0], '92': [11055000000.0, 15000000000.0, 11368000000.0], '54': [3999500000.0, 6275300000.0, 7133000000.0], '104': [4183300000.0, 11389000000.0, 7009200000.0]}","{'12': 0.002483536647627445, '21': 0.0007571793986663267, '25': 0.0029913475581453486, '27': 0.0014281953346393828, '31': 0.0015242621070046991, '32': 0.0008533758070807951, '33': 0.002071893611296117, '39': 0.0016030952300723944, '89': 0.0022779180389179295, '90': 0.002828870461362105, '103': 0.000613070608897019, '99': 0.003612783033232501, '73': 0.0007832536224437954, '92': 0.0014353324652289468, '54': 0.0022786207991155783, '104': 0.003938304528726232}",0.1967564953278538,16
P54727,P54727, UV excision repair protein RAD23 homolog B,RAD23B,"{'12': [2130600000.0, 4307500000.0, 2176400000.0], '21': [996820000.0, 1784900000.0, 1472500000.0], '25': [2502400000.0, 2192700000.0, 1529600000.0], '27': [896780000.0, 430320000.0, 804490000.0], '31': [539150000.0, 630900000.0, 745790000.0], '32': [614940000.0, 456960000.0, 503170000.0], '33': [251270000.0, 527920000.0, 493450000.0], '39': [466310000.0, 448390000.0, 448850000.0], '89': [964270000.0, 584020000.0, 1074500000.0], '90': [1079600000.0, 873500000.0, 459010000.0], '103': [963180000.0, 677970000.0, 905440000.0], '99': [304880000.0, 532670000.0, 321890000.0], '73': [1056100000.0, 1432600000.0, 1318000000.0], '92': [1356700000.0, 665140000.0, 882570000.0], '54': [458100000.0, 473580000.0, 532330000.0], '104': [411130000.0, 404810000.0, 471700000.0]}","{'12': 0.003536748996962495, '21': 0.0022849731105321377, '25': 0.001955686157939093, '27': 0.002838569230718137, '31': 0.0013237518215493663, '32': 0.0012631898644199296, '33': 0.0029017574304497666, '39': 0.0001835193479489279, '89': 0.002403266675477861, '90': 0.0032097062503735605, '103': 0.0014503806166367358, '99': 0.0026807319762835206, '73': 0.0012418461169039021, '92': 0.0029824166661449663, '54': 0.0006552095472566237, '104': 0.0007025224513661191}",0.1975892266310196,16
P0DP25;P0DP24;P0DP23,P0DP25;P0DP24;P0DP23, Calmodulin-3; Calmodulin-2; Calmodulin-1,CALM3;CALM2;CALM1,"{'12': [13420000000.0, 15415000000.0, 14011000000.0], '21': [5336100000.0, 10786000000.0, 8511200000.0], '25': [13635000000.0, 10483000000.0, 10397000000.0], '27': [5649200000.0, 1355100000.0, 9336600000.0], '31': [5800200000.0, 4146100000.0, 4568800000.0], '32': [3912800000.0, 3873200000.0, 2910100000.0], '33': [2007300000.0, 4349700000.0, 3557200000.0], '39': [3175900000.0, 3972200000.0, 2940900000.0], '89': [6189900000.0, 5073900000.0, 6145800000.0], '90': [5007000000.0, 4732700000.0, 2421000000.0], '103': [4171200000.0, 3685600000.0, 3688400000.0], '99': [2195100000.0, 4549400000.0, 1481900000.0], '73': [6306600000.0, 6860900000.0, 6256400000.0], '92': [4307600000.0, 2371600000.0, 3270100000.0], '54': [4603500000.0, 4729000000.0, 4974500000.0], '104': [1756700000.0, 2150500000.0, 2926300000.0]}","{'12': 0.000585838599247854, '21': 0.0027219360987192527, '25': 0.0013094711889489563, '27': 0.005987864994238566, '31': 0.0014502209616217973, '32': 0.00130035841477153, '33': 0.0029436609731253224, '39': 0.00131229129446594, '89': 0.0008891769215488661, '90': 0.0028612275846405365, '103': 0.0005931216382303563, '99': 0.004779782229412542, '73': 0.0004230348776895598, '92': 0.0023852354699479494, '54': 0.0003230833366011491, '104': 0.00213317699561163}",0.1999967598676363,16
P09525,P09525, Annexin A4,ANXA4,"{'12': [2655200000.0, 1026900000.0, 1307400000.0], '21': [1340800000.0, 1820400000.0, 1812600000.0], '25': [1838800000.0, 1996400000.0, 1921300000.0], '27': [1661200000.0, 709730000.0, 731560000.0], '31': [470160000.0, 415570000.0, 489290000.0], '32': [1039900000.0, 682660000.0, 893110000.0], '33': [808170000.0, 872470000.0, 724730000.0], '39': [798470000.0, 789600000.0, 968000000.0], '89': [1441300000.0, 2032300000.0, 1279300000.0], '90': [1015100000.0, 2261700000.0, 583370000.0], '103': [1271300000.0, 1357800000.0, 1524000000.0], '99': [469870000.0, 947340000.0, 552970000.0], '73': [1386300000.0, 2638300000.0, 2441400000.0], '92': [1844200000.0, 2234500000.0, 1798200000.0], '54': [565410000.0, 607260000.0, 735090000.0], '104': [921360000.0, 1240500000.0, 1358300000.0]}","{'12': 0.004273528774013728, '21': 0.0013527066129656751, '25': 0.0003354307375567375, '27': 0.0042882146636501585, '31': 0.0006814824082047076, '32': 0.0016815476868779664, '33': 0.000754350692033211, '39': 0.0009634454107593927, '89': 0.0020426306101124555, '90': 0.005530218930055226, '103': 0.0007574636558309349, '99': 0.0031714295280928957, '73': 0.0025504076326492, '92': 0.0009991719357059813, '54': 0.0011349717221125575, '104': 0.0015730939114970916}",0.200563093200737,16
P63261,P63261," Actin, cytoplasmic 2",ACTG1,"{'12': [184370000000.0, 136100000000.0, 113410000000.0], '21': [96007000000.0, 133540000000.0, 104330000000.0], '25': [99312000000.0, 120870000000.0, 83443000000.0], '27': [79988000000.0, 45474000000.0, 54359000000.0], '31': [51597000000.0, 61983000000.0, 69553000000.0], '32': [54220000000.0, 56968000000.0, 43729000000.0], '33': [36535000000.0, 70636000000.0, 42144000000.0], '39': [49432000000.0, 68517000000.0, 61573000000.0], '89': [76076000000.0, 119610000000.0, 43758000000.0], '90': [65509000000.0, 132380000000.0, 70586000000.0], '103': [74467000000.0, 97158000000.0, 71902000000.0], '99': [38195000000.0, 67930000000.0, 50103000000.0], '73': [91868000000.0, 126750000000.0, 140830000000.0], '92': [63862000000.0, 86756000000.0, 74380000000.0], '54': [27144000000.0, 37420000000.0, 44137000000.0], '104': [36737000000.0, 59293000000.0, 64956000000.0]}","{'12': 0.002045962301702302, '21': 0.0014461234285658166, '25': 0.0015155109949823652, '27': 0.0024411868353617218, '31': 0.0012057620228569524, '32': 0.0011047106158441763, '33': 0.0029996904341877077, '39': 0.0013180204109484223, '89': 0.003893907060270866, '90': 0.003396671286673671, '103': 0.00139815626961964, '99': 0.002346410646759811, '73': 0.0017177351262987392, '92': 0.0012475698402477917, '54': 0.0019285646288155491, '104': 0.0022714475471020254}",0.2017339340639847,16
O75368,O75368, SH3 domain-binding glutamic acid-rich-like protein,SH3BGRL,"{'12': [1754300000.0, 2265500000.0, 1724700000.0], '21': [930460000.0, 1246300000.0, 1341100000.0], '25': [837060000.0, 1124000000.0, 830880000.0], '27': [617900000.0, 234030000.0, 159180000.0], '31': [543230000.0, 340310000.0, 442230000.0], '32': [272000000.0, 310080000.0, 245140000.0], '33': [294240000.0, 588880000.0, 540760000.0], '39': [497990000.0, 518740000.0, 502350000.0], '89': [902440000.0, 773910000.0, 722880000.0], '90': [578720000.0, 594180000.0, 315980000.0], '103': [756910000.0, 524440000.0, 602630000.0], '99': [215490000.0, 587960000.0, 459120000.0], '73': [1036200000.0, 910290000.0, 1387300000.0], '92': [722590000.0, 472020000.0, 626020000.0], '54': [620590000.0, 587390000.0, 1279400000.0], '104': [247630000.0, 300770000.0, 311140000.0]}","{'12': 0.0012964734660196806, '21': 0.0014970936360297856, '25': 0.00146935174001391, '27': 0.005961887005764951, '31': 0.0018745791556901673, '32': 0.0009662442164305106, '33': 0.002719117461874141, '39': 0.00017641817469276925, '89': 0.0009446375609361378, '90': 0.0025722066438928514, '103': 0.0015379971057076017, '99': 0.003669861350733783, '73': 0.001816332485649724, '92': 0.0017002878635589804, '54': 0.0038435585485611453, '104': 0.0009709388262591789}",0.2063561577613457,16
O00299,O00299, Chloride intracellular channel protein 1,CLIC1,"{'12': [3760100000.0, 3625300000.0, 1943600000.0], '21': [1949500000.0, 1711400000.0, 1928600000.0], '25': [1122800000.0, 1621800000.0, 889220000.0], '27': [495770000.0, 331210000.0, 683000000.0], '31': [891190000.0, 914520000.0, 689870000.0], '32': [899250000.0, 1003500000.0, 919370000.0], '33': [668000000.0, 1228700000.0, 689790000.0], '39': [621010000.0, 621520000.0, 932540000.0], '89': [1525100000.0, 1824700000.0, 856240000.0], '90': [987540000.0, 3493000000.0, 552680000.0], '103': [1269900000.0, 1384100000.0, 1087100000.0], '99': [496310000.0, 811680000.0, 611430000.0], '73': [1560700000.0, 1528400000.0, 1627500000.0], '92': [1310000000.0, 1420900000.0, 1098200000.0], '54': [430110000.0, 450980000.0, 466770000.0], '104': [534110000.0, 1282700000.0, 1014200000.0]}","{'12': 0.0026574169900612284, '21': 0.000577800698659471, '25': 0.0025225322863484927, '27': 0.002855343113815625, '31': 0.0012123775355570906, '32': 0.00048001105665098194, '33': 0.0030079356142448227, '39': 0.002023887827835029, '89': 0.002887551714040491, '90': 0.007723494357381258, '103': 0.000980912879951107, '99': 0.0020366067115545946, '73': 0.00026247635186812506, '92': 0.0010488454756743908, '54': 0.0003341786885628796, '104': 0.003281371110345637}",0.2118296400784451,16
