Protein IDs,Majority protein IDs,Protein names,Gene names,Patient Measurements,Patient CVs,Average CV,Patient Count
P10599,P10599, Thioredoxin,TXN,"{'12': [1193900000.0, 1668000000.0, 1043700000.0], '21': [799890000.0, 855130000.0, 655570000.0], '25': [376560000.0, 543540000.0, 324870000.0], '27': [268740000.0, 216640000.0, 304770000.0], '31': [460160000.0, 570190000.0, 392460000.0], '32': [395790000.0, 482160000.0, 389150000.0], '33': [228020000.0, 450770000.0, 417430000.0], '39': [331820000.0, 171180000.0, 211580000.0], '89': [583420000.0, 249190000.0, 517320000.0], '90': [526700000.0, 594070000.0, 320560000.0], '103': [376560000.0, 336480000.0, 220790000.0], '99': [129200000.0, 229460000.0, 161010000.0], '73': [398640000.0, 560720000.0, 409460000.0], '92': [474520000.0, 376280000.0, 430890000.0], '54': [272070000.0, 195150000.0, 351300000.0], '104': [209670000.0, 289600000.0, 237890000.0]}","{'12': 0.0020436648735500705, '21': 0.0010923458609588216, '25': 0.0022486305273913053, '27': 0.0013735778858995707, '31': 0.001544283473379891, '32': 0.0010030877236990045, '33': 0.002684568124037662, '39': 0.0028643783437164463, '89': 0.003211707790016556, '90': 0.00242176368440409, '103': 0.0021216755895517906, '99': 0.002414924839831613, '73': 0.0016215483169092102, '92': 0.0009407046762737398, '54': 0.0023365450698427204, '104': 0.0013469665699144102}",0.1954398334336056,16
P20073,P20073, Annexin A7,ANXA7,"{'12': [77337000.0, 48588000.0, 44481000.0], '21': [69141000.0, 69641000.0, 73615000.0], '25': [25905000.0, 42679000.0, 46716000.0], '27': [17908000.0, 6199500.0, 15123000.0], '31': [28316000.0, 29302000.0, 15329000.0], '32': [31380000.0, 27705000.0, 23333000.0], '33': [16961000.0, 30704000.0, 24234000.0], '39': [25411000.0, 23758000.0, 23311000.0], '89': [35248000.0, 33179000.0, 24882000.0], '90': [16410000.0, 34996000.0, 14616000.0], '103': [21943000.0, 20111000.0, 21952000.0], '99': [4271700.0, 9551100.0, 8856000.0], '73': [21725000.0, 24759000.0, 24151000.0], '92': [19942000.0, 33912000.0, 29963000.0], '54': [7384700.0, 13062000.0, 16716000.0], '104': [14139000.0, 17610000.0, 15757000.0]}","{'12': 0.002573310821279333, '21': 0.0002827226355881864, '25': 0.002344545794211169, '27': 0.0038190841460965155, '31': 0.002618587283619732, '32': 0.0011972915569898122, '33': 0.0023423473709856773, '39': 0.00037384833682110446, '89': 0.001440141573718947, '90': 0.004186572702675471, '103': 0.0004057786141515548, '99': 0.0030982470452194577, '73': 0.0005566586381715672, '92': 0.002104606435566631, '54': 0.003099254136677611, '104': 0.0008955365439887533}",0.1958658352235095,16
P06396;REV__Q6TDU7,P06396, Gelsolin,GSN,"{'12': [302840000.0, 528310000.0, 344960000.0], '21': [187180000.0, 374460000.0, 355140000.0], '25': [536710000.0, 410430000.0, 452880000.0], '27': [218670000.0, 78159000.0, 417450000.0], '31': [95933000.0, 103500000.0, 103570000.0], '32': [103000000.0, 98441000.0, 106470000.0], '33': [103660000.0, 182960000.0, 116620000.0], '39': [138620000.0, 156450000.0, 136770000.0], '89': [243620000.0, 176740000.0, 153360000.0], '90': [139750000.0, 219750000.0, 69890000.0], '103': [214190000.0, 252120000.0, 152870000.0], '99': [63003000.0, 125260000.0, 118030000.0], '73': [253710000.0, 376220000.0, 343330000.0], '92': [226930000.0, 200130000.0, 181260000.0], '54': [113160000.0, 133240000.0, 117750000.0], '104': [200510000.0, 154310000.0, 164700000.0]}","{'12': 0.002496757189368792, '21': 0.002752073804323053, '25': 0.00112430027959156, '27': 0.005846211092531112, '31': 0.0003548213492643532, '32': 0.0003203386883609366, '33': 0.0025840460979054424, '39': 0.0006164361003703384, '89': 0.002000018294053183, '90': 0.004277702403445659, '103': 0.0019812648090879797, '99': 0.0027230038891945646, '73': 0.001595804008630795, '92': 0.0009240936111242304, '54': 0.0007077402489256489, '104': 0.0011427777536722758}",0.196546185124062,16
P62937;A0A0B4J2A2;A0A075B767;Q9Y536;P0DN37,P62937, Peptidyl-prolyl cis-trans isomerase A,PPIA,"{'12': [3797900000.0, 5390200000.0, 2965100000.0], '21': [1979800000.0, 1869900000.0, 2236500000.0], '25': [1652300000.0, 1950400000.0, 887370000.0], '27': [889160000.0, 666140000.0, 939420000.0], '31': [1050900000.0, 1250300000.0, 857230000.0], '32': [889470000.0, 812060000.0, 720870000.0], '33': [630540000.0, 1060200000.0, 952780000.0], '39': [806490000.0, 540420000.0, 705970000.0], '89': [751600000.0, 1064800000.0, 623750000.0], '90': [680200000.0, 896650000.0, 432810000.0], '103': [742750000.0, 694530000.0, 638910000.0], '99': [447600000.0, 857490000.0, 400070000.0], '73': [1275700000.0, 1501200000.0, 1277600000.0], '92': [1105500000.0, 1500000000.0, 1136800000.0], '54': [399950000.0, 627530000.0, 713300000.0], '104': [418330000.0, 1138900000.0, 700920000.0]}","{'12': 0.002483536647627445, '21': 0.0007571793986663267, '25': 0.0029913475581453486, '27': 0.0014281953346393821, '31': 0.0015242621070046991, '32': 0.0008533758070807952, '33': 0.002071893611296117, '39': 0.0016030952300723942, '89': 0.0022779180389179295, '90': 0.002828870461362106, '103': 0.0006130706088970189, '99': 0.003612783033232502, '73': 0.0007832536224437952, '92': 0.0014353324652289468, '54': 0.0022786207991155783, '104': 0.003938304528726232}",0.1967564953278538,16
P54727,P54727, UV excision repair protein RAD23 homolog B,RAD23B,"{'12': [163900000.0, 331340000.0, 167420000.0], '21': [76678000.0, 137300000.0, 113270000.0], '25': [192490000.0, 168670000.0, 117660000.0], '27': [68983000.0, 33101000.0, 61883000.0], '31': [41473000.0, 48531000.0, 57368000.0], '32': [47303000.0, 35150000.0, 38706000.0], '33': [19329000.0, 40609000.0, 37957000.0], '39': [35870000.0, 34492000.0, 34527000.0], '89': [74175000.0, 44925000.0, 82657000.0], '90': [83047000.0, 67192000.0, 35309000.0], '103': [74091000.0, 52151000.0, 69649000.0], '99': [23453000.0, 40975000.0, 24760000.0], '73': [81242000.0, 110200000.0, 101390000.0], '92': [104360000.0, 51165000.0, 67890000.0], '54': [35238000.0, 36429000.0, 40949000.0], '104': [31625000.0, 31139000.0, 36285000.0]}","{'12': 0.003536452486361195, '21': 0.002284993246355049, '25': 0.001955695793360827, '27': 0.002838611784516207, '31': 0.0013237195933740308, '32': 0.0012632320911897016, '33': 0.002901631917833575, '39': 0.0001834811089664912, '89': 0.00240335075596149, '90': 0.003209693054377999, '103': 0.0014504282828977661, '99': 0.002680776217950509, '73': 0.0012417024060788144, '92': 0.0029823213354529437, '54': 0.0006553242998775799, '104': 0.000702620945508944}",0.1975877207503945,16
P0DP25;P0DP24;P0DP23,P0DP25;P0DP24;P0DP23, Calmodulin-3; Calmodulin-2; Calmodulin-1,CALM3;CALM2;CALM1,"{'12': [1491100000.0, 1712800000.0, 1556800000.0], '21': [592900000.0, 1198500000.0, 945690000.0], '25': [1515000000.0, 1164700000.0, 1155300000.0], '27': [627690000.0, 150560000.0, 1037400000.0], '31': [644460000.0, 460680000.0, 507640000.0], '32': [434750000.0, 430360000.0, 323350000.0], '33': [223030000.0, 483300000.0, 395240000.0], '39': [352880000.0, 441360000.0, 326760000.0], '89': [687760000.0, 563760000.0, 682870000.0], '90': [556330000.0, 525860000.0, 269000000.0], '103': [463470000.0, 409510000.0, 409820000.0], '99': [243900000.0, 505490000.0, 164650000.0], '73': [700730000.0, 762320000.0, 695160000.0], '92': [478620000.0, 263510000.0, 363340000.0], '54': [511500000.0, 525440000.0, 552720000.0], '104': [195190000.0, 238950000.0, 325140000.0]}","{'12': 0.0005859066366235406, '21': 0.0027221141359935037, '25': 0.0013094597058653417, '27': 0.005987929760572334, '31': 0.0014501692848073939, '32': 0.0013002772870503152, '33': 0.0029437116443939244, '39': 0.001312394501326078, '89': 0.0008892158437569862, '90': 0.0028612242133513066, '103': 0.0005931767066511507, '99': 0.0047798806736268525, '73': 0.00042301364415718037, '92': 0.0023852414244611695, '54': 0.0003230733067874311, '104': 0.002133057767828457}",0.199999040857831,16
P09525,P09525, Annexin A4,ANXA4,"{'12': [120690000.0, 46676000.0, 59426000.0], '21': [60945000.0, 82747000.0, 82390000.0], '25': [83581000.0, 90746000.0, 87332000.0], '27': [75508000.0, 32261000.0, 33253000.0], '31': [21371000.0, 18890000.0, 22241000.0], '32': [47267000.0, 31030000.0, 40596000.0], '33': [36735000.0, 39658000.0, 32942000.0], '39': [36294000.0, 35891000.0, 44000000.0], '89': [65514000.0, 92378000.0, 58150000.0], '90': [46140000.0, 102800000.0, 26517000.0], '103': [57788000.0, 61718000.0, 69273000.0], '99': [21358000.0, 43061000.0, 25135000.0], '73': [63015000.0, 119920000.0, 110970000.0], '92': [83828000.0, 101570000.0, 81736000.0], '54': [25701000.0, 27603000.0, 33413000.0], '104': [41880000.0, 56385000.0, 61739000.0]}","{'12': 0.004273616248484481, '21': 0.001352755751187553, '25': 0.00033549512463980157, '27': 0.004288072086430035, '31': 0.00068146291583277, '32': 0.001681450316122403, '33': 0.0007544116223764436, '39': 0.0009634445654717371, '89': 0.0020426594607255875, '90': 0.005530039700872218, '103': 0.0007573849447787494, '99': 0.00317140349302075, '73': 0.0025502484018318293, '92': 0.0009992548043140908, '54': 0.0011348606465314006, '104': 0.0015729755729296758}",0.2005595978471845,16
P63261,P63261," Actin, cytoplasmic 2",ACTG1,"{'12': [9218300000.0, 6805000000.0, 5670500000.0], '21': [4800400000.0, 6677000000.0, 5216300000.0], '25': [4965600000.0, 6043600000.0, 4172100000.0], '27': [3999400000.0, 2273700000.0, 2717900000.0], '31': [2579900000.0, 3099200000.0, 3477600000.0], '32': [2711000000.0, 2848400000.0, 2186500000.0], '33': [1826700000.0, 3531800000.0, 2107200000.0], '39': [2471600000.0, 3425900000.0, 3078700000.0], '89': [3803800000.0, 5980500000.0, 2187900000.0], '90': [3275400000.0, 6619000000.0, 3529300000.0], '103': [3723300000.0, 4857900000.0, 3595100000.0], '99': [1909700000.0, 3396500000.0, 2505100000.0], '73': [4593400000.0, 6337600000.0, 7041300000.0], '92': [3193100000.0, 4337800000.0, 3719000000.0], '54': [1357200000.0, 1871000000.0, 2206900000.0], '104': [1836900000.0, 2964600000.0, 3247800000.0]}","{'12': 0.002045857338064542, '21': 0.0014461598170645634, '25': 0.0015156285881655256, '27': 0.0024412216241721037, '31': 0.0012056291966956762, '32': 0.001104613979855668, '33': 0.0029997699020769715, '39': 0.0013180792390384561, '89': 0.003893907060270866, '90': 0.00339671332598672, '103': 0.0013981862841255987, '99': 0.002346523736521993, '73': 0.0017176498175762503, '92': 0.0012475698402477917, '54': 0.0019286509348527816, '104': 0.0022713326004984557}",0.2017343330325872,16
O75368,O75368, SH3 domain-binding glutamic acid-rich-like protein,SH3BGRL,"{'12': [219290000.0, 283190000.0, 215590000.0], '21': [116310000.0, 155790000.0, 167630000.0], '25': [104630000.0, 140500000.0, 103860000.0], '27': [77237000.0, 29254000.0, 19897000.0], '31': [67904000.0, 42538000.0, 55278000.0], '32': [34001000.0, 38760000.0, 30642000.0], '33': [36780000.0, 73610000.0, 67595000.0], '39': [62249000.0, 64842000.0, 62794000.0], '89': [112800000.0, 96739000.0, 90361000.0], '90': [72340000.0, 74272000.0, 39498000.0], '103': [94614000.0, 65555000.0, 75328000.0], '99': [26936000.0, 73495000.0, 57390000.0], '73': [129530000.0, 113790000.0, 173410000.0], '92': [90324000.0, 59003000.0, 78252000.0], '54': [77573000.0, 73424000.0, 159920000.0], '104': [30954000.0, 37596000.0, 38893000.0]}","{'12': 0.0012964599247897236, '21': 0.0014968839152284539, '25': 0.0014694112948776678, '27': 0.0059618919647115775, '31': 0.0018746670883644275, '32': 0.0009662815204775438, '33': 0.002719117461874141, '39': 0.00017636343709332547, '89': 0.0009443859590686002, '90': 0.002572148095925484, '103': 0.0015380229045625152, '99': 0.003669888227122545, '73': 0.0018160889856284402, '92': 0.0017002655257925222, '54': 0.003843409004952013, '104': 0.0009709310608752278}",0.2063513523209013,16
O00299,O00299, Chloride intracellular channel protein 1,CLIC1,"{'12': [250670000.0, 241680000.0, 129570000.0], '21': [129970000.0, 114090000.0, 128570000.0], '25': [74851000.0, 108120000.0, 59281000.0], '27': [33051000.0, 22081000.0, 45533000.0], '31': [59413000.0, 60968000.0, 45991000.0], '32': [59950000.0, 66899000.0, 61291000.0], '33': [44533000.0, 81916000.0, 45986000.0], '39': [41401000.0, 41435000.0, 62169000.0], '89': [101680000.0, 121650000.0, 57083000.0], '90': [65836000.0, 232870000.0, 36846000.0], '103': [84659000.0, 92272000.0, 72474000.0], '99': [33088000.0, 54112000.0, 40762000.0], '73': [104050000.0, 101900000.0, 108500000.0], '92': [87332000.0, 94727000.0, 73213000.0], '54': [28674000.0, 30066000.0, 31118000.0], '104': [35607000.0, 85514000.0, 67611000.0]}","{'12': 0.0026574405197585253, '21': 0.0005779493810389281, '25': 0.002522602449525362, '27': 0.0028552732560848987, '31': 0.001212417530117708, '32': 0.00047994891631286896, '33': 0.0030081279611163326, '39': 0.002023818156374041, '89': 0.002887625685308562, '90': 0.00772352420004175, '103': 0.000980817086875332, '99': 0.002036538727804246, '73': 0.0002622134422795096, '92': 0.001048869310942273, '54': 0.00033418459305111924, '104': 0.0032814397638958924}",0.2118299436282959,16
